name	id	artworks	associated_periods_or_movements	art_forms	art_series
Alejandro Mario Yllanes	/guid/9202a8c04000641f800000000bed3053				
Aunia Kahn	/guid/9202a8c04000641f800000000bec0ea4				
Martins Krumins	/guid/9202a8c04000641f800000000c41041c				
Daniel Orme	/guid/9202a8c04000641f800000000be9832b				
Dean Wolstenholme the Elder	/guid/9202a8c04000641f800000000c374ffb			Painting	
Shaun McGowan	/guid/9202a8c04000641f800000000cc1c874	Imitation of Christ			
Tony Sisti	/guid/9202a8c04000641f800000000c3ecd51			Drawing,Painting	
Jonas Lundh	/guid/9202a8c04000641f8000000009606e07				
George Mullins	/guid/9202a8c04000641f8000000007d8b275			Painting	
Helen Donald-Smith	/guid/9202a8c04000641f8000000007d39e64				
Louise K Wilson	/guid/9202a8c04000641f800000000803c401				
Domenico Tojetti	/guid/9202a8c04000641f8000000007da3547				
Alexis Ruyer	/guid/9202a8c04000641f800000000927228d			Painting	
Rusty Skuse	/guid/9202a8c04000641f8000000008033542				
Yang Weizhen	/guid/9202a8c04000641f8000000008d152bf				
Robin Page	/guid/9202a8c04000641f800000000803d255				
Benimaru Itoh	/guid/9202a8c04000641f800000000964f1fc				
Katherine Lee	/guid/9202a8c04000641f800000000925d565				
Makoto Niwano	/guid/9202a8c04000641f80000000093fba0f				
Daisuke Kadokuni	/guid/9202a8c04000641f8000000007b71c7f				
Thierry Geoffroy	/guid/9202a8c04000641f8000000007b576b8		Conceptual art		
Carl Holty	/guid/9202a8c04000641f8000000009055b0b				
Sardine & Tobleroni	/guid/9202a8c04000641f80000000087b8f8d				
Wu Zuoren	/guid/9202a8c04000641f80000000087ab0c7				
Alfred Edward Emslie	/guid/9202a8c04000641f8000000009081fe0				
Christopher Willits	/guid/9202a8c04000641f800000000371999d				
John Kleckner	/guid/9202a8c04000641f8000000000d9892a				
Francisco Goitia	/guid/9202a8c04000641f8000000000c7fbdc				
Mario Merz	/guid/9202a8c04000641f80000000009796ef	Fall of the House of Usher,Untitled (A Real Sum is a Sum of People)		Painting	
Spencer Finch	/guid/9202a8c04000641f8000000000d7ebbc				
Ivo Lill	/guid/9202a8c04000641f8000000000abff65			Glass	
Sueo Serisawa	/guid/9202a8c04000641f8000000000f2977b		American Impressionism		
Yoshida Hodaka	/guid/9202a8c04000641f8000000000e1f7a6				
E. Charlton Fortune	/guid/9202a8c04000641f8000000000a14d19			Painting	
Vittorio Crivelli	/guid/9202a8c04000641f8000000000d613cd				
Max Shertz	/guid/9202a8c04000641f8000000000bd28b5				
RifRaf	/guid/9202a8c04000641f8000000000a152b5			Painting,Mural,Sculpture	
Johann Gottfried Steffan	/guid/9202a8c04000641f8000000000d61bbd			Painting	
Anne Seymour Damer	/guid/9202a8c04000641f80000000009c80a6				
Gertrude Käsebier	/guid/9202a8c04000641f8000000000db38a7			Photography	
Charles Codman	/guid/9202a8c04000641f8000000000d69c05				
Albert Ernest Newbury	/guid/9202a8c04000641f8000000000d5d1ea				
Emanuel Hahn	/guid/9202a8c04000641f8000000000efaff2				
Walery Eljasz-Radzikowski	/guid/9202a8c04000641f8000000000c018a0				
Ed Paschke	/guid/9202a8c04000641f8000000000aef3fa			Painting	
Seonna Hong	/guid/9202a8c04000641f8000000000c3224d				
Katherine Sophie Dreier	/guid/9202a8c04000641f8000000000b545c2			Painting	
Nikolai Sergeyev	/guid/9202a8c04000641f8000000000ee271c				
Relja Penezic	/guid/9202a8c04000641f80000000009bd537				
Kyoko Mizuki	/guid/9202a8c04000641f8000000000ec0d0f				
Irene di Spilimbergo	/guid/9202a8c04000641f8000000000d8495f			Painting	
